200 200
2 130 -32
2 162 45
3 15 85
3 26 70
3 42 -99
3 58 96
3 66 -96
3 84 36
3 98 1
3 101 -91
3 114 6
3 184 -21
4 17 -91
4 54 -21
4 112 -23
5 17 -57
6 40 77
6 44 94
6 80 85
6 94 -4
6 193 33
7 13 -17
7 89 -7
8 29 47
8 35 -81
8 74 25
8 104 85
8 121 -91
8 144 55
8 148 13
9 66 69
9 68 -61
9 74 -42
10 190 53
11 50 -87
11 119 53
11 148 65
12 14 27
12 19 -100
12 77 -51
12 155 -36
13 106 63
13 154 -27
14 43 -54
14 138 -52
14 141 -67
14 179 -22
15 21 -79
15 84 81
15 177 -91
16 78 81
16 117 8
16 199 -51
17 3 -52
17 80 -15
17 152 16
17 177 -3
18 13 33
18 50 55
19 129 -45
20 82 -65
20 100 -80
20 175 92
20 184 92
21 19 79
21 111 -93
22 23 33
22 195 92
23 193 70
24 1 99
24 22 -17
24 81 99
24 155 -44
24 174 91
24 179 -49
25 88 -79
26 49 -87
27 18 -27
27 63 33
28 120 73
29 24 -29
29 40 57
29 83 -38
29 110 -13
29 115 -25
30 76 -66
30 172 5
31 102 61
31 196 66
32 56 53
32 87 -99
32 99 79
33 157 -13
33 183 12
34 139 -24
34 150 -12
34 150 -4
34 156 -63
35 21 -52
35 85 -82
35 107 44
35 178 42
36 17 50
36 47 14
36 61 -90
37 91 -29
37 158 -36
37 188 -7
37 194 -98
38 36 41
38 51 -1
38 113 32
38 127 -37
40 96 -39
40 126 -91
41 152 -70
41 159 -61
41 173 31
42 45 -8
42 57 11
42 84 -19
42 86 -62
43 144 85
44 97 58
44 161 5
45 14 -70
46 7 -100
46 58 94
47 42 95
47 162 -80
48 1 -85
48 1 32
48 33 -97
49 77 -60
49 120 89
49 158 76
52 8 83
52 46 -25
53 76 74
53 86 -69
53 154 73
53 195 -36
54 43 -11
54 51 64
54 171 -68
55 49 -25
55 67 -24
55 100 -87
55 116 98
55 179 -68
56 115 44
56 150 -10
57 53 98
57 78 65
57 112 -8
57 160 6
58 72 -23
58 130 42
58 131 63
58 152 -85
59 28 17
59 132 -63
59 160 -81
60 23 -9
60 25 14
60 50 -8
60 51 -34
60 89 -63
60 136 -55
60 186 -92
62 46 -72
62 93 -47
62 119 41
62 149 13
63 181 -95
64 118 -1
64 190 -94
65 162 -18
65 170 30
65 196 74
66 8 94
66 95 92
67 56 72
67 148 -28
68 27 -91
68 119 89
69 29 28
69 39 1
70 39 55
70 61 23
70 81 2
70 102 -71
71 1 69
72 48 93
72 98 54
72 165 5
