200 200
1 119 9
1 180 -7
2 97 82
3 35 12
3 55 -86
3 125 -33
3 183 -62
4 91 -6
4 111 35
4 164 34
4 191 86
5 62 11
5 83 93
5 171 87
6 25 -31
6 26 40
6 27 5
6 39 62
6 124 -80
6 149 -22
7 89 15
8 120 -7
8 134 -85
8 188 9
9 174 32
9 191 -82
10 47 91
10 49 76
10 72 82
10 169 33
11 197 -73
12 54 -3
12 118 -15
13 23 -44
13 44 -80
13 103 48
13 198 -50
14 41 94
14 51 17
14 88 -50
15 40 98
16 42 94
16 68 -89
16 164 87
17 111 23
18 38 -15
18 65 -11
19 121 -7
19 145 -52
20 107 91
21 16 22
21 74 -61
22 26 -50
22 97 79
22 120 42
23 14 58
23 37 39
24 10 -88
24 11 65
24 119 -20
25 28 -88
25 48 57
25 68 -81
26 80 -91
26 153 -83
26 177 54
26 182 30
27 37 -92
27 147 -80
28 18 -38
28 34 -18
28 73 -24
29 53 51
29 128 -26
29 175 98
30 168 90
31 9 4
32 42 -2
32 51 -29
32 55 72
32 109 92
33 52 -76
33 80 -56
33 123 30
33 123 42
33 140 -8
33 187 -96
34 43 19
34 49 -37
34 197 -98
35 52 -14
35 119 65
36 121 -99
37 59 -48
37 96 -9
37 134 40
38 56 -33
38 66 11
39 25 -57
40 39 10
40 50 38
40 70 2
40 91 -48
40 130 -70
40 133 -79
41 149 -63
42 113 -67
43 125 96
43 149 -1
44 73 -5
45 7 35
45 144 -68
46 72 -35
47 8 -73
47 104 -76
47 116 -91
48 12 42
48 44 -18
48 149 62
48 153 -69
49 70 25
49 144 32
50 6 -26
50 22 12
50 114 -6
50 119 9
50 136 34
50 141 -1
51 26 23
51 39 67
51 113 -61
52 129 82
52 182 30
53 50 65
53 55 -81
53 67 -80
53 146 71
53 152 53
54 5 14
54 66 90
54 78 -16
55 45 44
56 61 62
58 5 -19
58 31 -41
58 143 -24
59 98 86
59 109 -85
59 192 36
60 15 -90
60 54 -81
60 58 -50
60 74 -93
60 111 58
60 196 45
61 41 -91
62 8 -46
62 186 75
63 71 -12
63 84 -44
63 170 -80
64 28 65
64 103 74
65 107 -32
65 133 63
66 68 19
66 126 -5
66 162 55
66 197 42
67 15 -87
67 53 28
67 137 -2
68 73 56
68 76 -49
68 80 58
69 92 60
69 93 -44
69 104 96
69 168 -63
70 21 -40
71 58 42
71 113 21
71 190 73
72 16 57
74 116 -20
75 33 29
75 52 -26
76 102 77
77 24 12
77 26 -84
77 44 2
77 132 34
77 142 20
77 143 -98
77 144 -98
77 151 95
77 196 15
78 23 57
78 105 -45
78 106 78
80 4 49
81 55 94
81 97 70
81 129 68
82 95 47
83 127 38
84 9 -63
84 21 -99
84 57 61
84 136 -89
84 166 17
85 15 -44
85 28 56
86 128 98
86 141 47
86 154 20
86 156 44
86 157 63
87 29 2
87 70 55
87 86 48
88 3 -47
88 36 91
88 51 91
88 164 -47
89 70 97
89 122 -95
89 132 5
90 52 83
90 86 -30
92 16 -98
92 63 -29
92 86 -58
93 29 26
93 65 12
93 143 3
94 123 74
94 124 48
94 174 40
94 179 51
95 158 -45
96 108 53
97 175 -75
97 180 -60
97 191 -37
98 163 -69
99 62 -49
99 66 -62
99 96 -4
100 2 98
101 105 14
101 125 93
102 69 91
102 179 -89
103 16 2
103 90 36
103 139 59
104 42 54
104 51 -75
105 124 -95
105 157 49
106 170 -81
107 40 25
108 49 -2
108 67 15
108 90 -49
108 102 2
108 189 -94
110 49 25
110 71 -14
110 107 38
111 4 43
112 78 9
112 108 -8
112 125 -50
112 190 44
113 19 84
113 47 -46
113 74 62
113 135 -3
114 138 -100
115 1 12
115 43 40
115 86 -54
115 88 -19
116 41 100
116 61 45
116 72 29
116 106 -54
116 192 17
117 115 -14
117 148 -72
117 155 -55
117 169 19
118 11 -98
118 173 -15
119 50 46
119 107 76
119 150 51
120 185 59
121 110 46
121 130 54
121 160 13
122 82 52
124 99 50
124 118 -19
125 89 -49
125 104 -48
125 163 55
126 48 12
127 9 55
127 48 -27
127 186 -76
128 43 94
128 181 93
129 4 69
129 83 -64
129 199 33
130 7 71
130 172 54
131 18 2
131 106 80
132 10 45
132 46 -64
132 64 -68
133 1 -33
133 40 -10
133 50 -55
133 103 -20
133 131 89
134 32 -85
134 115 82
135 55 55
135 108 35
135 112 98
135 125 -37
135 193 -39
136 30 -74
136 117 83
136 125 -12
137 75 78
138 5 63
138 26 -42
138 67 100
139 27 97
139 32 -36
139 74 -35
139 181 -40
140 63 -45
140 64 67
140 106 46
140 134 54
141 4 70
141 159 -89
142 65 83
142 85 23
142 106 40
142 122 -90
143 7 -91
143 102 4
143 131 81
144 29 -30
144 120 -16
144 137 -82
145 16 71
145 99 37
145 101 -79
145 185 59
146 195 55
147 38 54
147 63 -73
148 29 -81
148 106 65
148 124 -22
148 125 -33
149 49 -84
149 81 -73
149 124 6
149 155 -46
149 180 -12
149 184 81
150 78 -24
150 179 -4
151 91 12
151 189 -53
152 9 -30
152 127 -81
152 157 -23
152 182 52
152 182 55
153 25 44
153 58 95
153 135 -84
154 18 -76
154 40 95
154 126 -62
154 182 -80
155 9 2
155 131 38
155 140 83
156 180 -27
157 26 1
157 28 17
157 68 28
157 129 58
157 158 35
158 58 -88
158 69 -89
158 137 -85
158 151 -39
159 88 -94
159 106 41
160 13 -44
161 49 -93
161 122 3
161 122 38
161 186 -9
162 30 -81
163 13 72
163 140 -30
164 72 32
166 26 -7
166 30 -16
166 39 42
166 70 47
166 111 38
167 158 -24
167 195 84
169 3 90
169 83 -25
169 116 86
169 146 -48
170 87 40
170 99 -2
170 187 88
171 140 -3
172 2 35
172 36 95
172 48 -95
174 86 -51
174 127 -91
174 127 41
174 160 -17
175 65 -98
176 47 96
176 103 -41
176 106 -35
176 142 -18
177 31 76
177 43 94
178 74 60
178 177 -45
178 197 40
180 114 26
180 127 -95
181 44 -95
181 145 70
182 18 -30
182 20 82
182 119 71
182 141 -91
183 59 -30
183 82 -96
183 174 -15
183 178 -4
184 59 15
184 73 -78
185 106 -54
186 16 -46
187 5 30
187 50 -2
187 59 -1
187 94 -98
187 120 -98
188 45 -31
188 121 74
188 126 -27
189 135 -91
190 69 66
191 91 -4
192 164 -36
193 16 -51
193 76 -100
193 155 90
193 159 25
193 168 28
193 195 -68
194 177 59
195 73 -49
196 172 14
197 108 -11
197 178 -98
198 15 -56
198 75 -45
198 126 -74
198 150 97
198 154 50
198 191 7
199 152 -35
