200 200
1 17 -38
1 26 -9
1 26 79
2 6 42
2 185 92
3 23 44
3 67 -11
3 77 -52
3 87 23
3 104 85
4 44 21
5 158 56
6 156 -12
7 20 -95
7 28 -24
7 30 -44
8 163 -61
8 169 -76
9 48 97
9 88 22
9 104 7
9 160 34
10 54 -97
10 180 -25
12 9 90
12 77 44
15 105 -84
15 140 -40
16 40 -71
16 121 -69
17 13 -57
17 100 -38
18 1 -89
18 86 -97
19 105 -24
21 39 41
21 84 -28
21 163 -12
22 17 23
22 56 86
22 130 -62
23 30 96
23 79 15
23 89 92
23 152 38
23 174 96
24 10 54
24 199 -30
26 165 39
26 184 -49
26 197 42
28 16 53
30 104 -76
32 54 -52
33 84 19
33 109 93
34 10 -58
34 48 48
34 104 -100
35 27 83
35 109 67
35 142 -53
35 174 -17
35 198 20
36 84 -76
37 47 19
37 177 40
38 123 79
39 40 62
39 72 -49
39 79 -100
39 183 10
40 59 -5
40 97 -9
40 194 -50
41 29 73
41 63 87
41 97 -45
42 77 16
43 65 70
43 119 34
43 163 93
43 182 87
44 194 -45
45 25 -44
45 140 -18
45 144 67
45 154 53
46 82 -46
46 106 -41
46 151 10
47 13 -86
47 20 -42
47 84 -88
47 187 -28
48 30 -24
48 124 -6
48 133 90
48 179 -77
49 36 3
49 89 92
49 187 26
51 84 -51
52 91 98
52 127 -55
52 172 3
53 2 -15
53 53 82
54 110 12
55 34 -78
55 195 -55
56 85 -87
56 98 -56
56 104 -77
56 106 30
56 177 -98
56 178 32
56 198 -50
57 174 -43
57 180 -77
58 38 -17
58 95 21
58 175 -58
59 35 -79
59 124 13
59 154 39
59 185 87
60 37 9
60 83 68
60 95 -9
60 107 6
61 5 27
61 64 -80
61 104 -51
62 16 57
62 155 18
62 155 54
63 11 32
63 98 -77
63 148 -38
63 169 1
64 9 72
64 85 -8
64 103 -25
64 116 -8
65 30 74
65 174 -24
66 5 -38
66 194 -27
67 6 87
67 39 42
67 60 82
67 116 -35
68 4 -31
68 23 40
68 51 -91
68 75 27
68 76 78
68 123 8
68 192 31
69 134 -58
70 20 64
70 41 -1
70 181 67
71 43 55
72 45 85
75 44 57
75 55 86
75 122 -81
76 50 34
76 73 31
76 165 -9
76 165 60
77 65 31
77 100 45
77 152 33
78 28 25
78 130 -97
78 136 94
79 24 86
79 123 -41
81 192 49
82 122 59
82 127 -66
82 149 -49
83 40 -9
83 100 17
84 3 -75
84 103 -67
84 144 44
85 5 -88
85 137 48
86 186 -33
86 190 -47
87 25 -52
87 197 -58
87 197 20
87 197 60
88 163 2
89 135 -61
89 165 -58
89 194 34
90 2 73
90 61 -64
90 95 98
91 73 49
92 21 -91
92 62 -100
92 128 -78
93 184 -94
93 187 12
94 41 -51
94 106 82
95 36 22
95 61 -16
95 157 -15
95 182 -63
96 5 76
96 52 21
96 143 86
96 179 100
97 21 -4
97 95 -98
97 189 -20
98 61 -32
98 63 76
98 101 3
98 129 8
98 133 5
98 174 -16
99 59 89
99 184 95
100 165 -20
101 35 -37
101 64 -77
