200 200
1 91 73
2 4 50
2 108 55
3 50 36
3 127 74
4 4 -94
4 111 41
4 199 -58
5 61 -9
5 161 -10
5 170 10
6 47 81
6 56 34
6 70 -8
6 182 43
6 198 -85
8 153 -26
8 176 1
8 186 -34
9 70 -72
9 87 17
9 182 -32
10 10 82
10 32 57
10 131 -60
10 199 58
11 34 56
11 168 50
12 32 94
12 38 -74
12 70 -10
12 181 70
13 111 15
13 131 92
14 78 95
14 143 10
15 64 -44
15 83 -21
15 124 9
16 7 26
16 60 100
16 106 -62
16 164 31
17 75 61
17 79 -48
17 80 18
17 104 -60
17 173 70
18 20 58
18 93 -22
18 118 30
18 153 31
19 135 75
20 7 -82
20 25 16
20 30 47
20 197 -12
21 52 18
22 108 -96
23 114 71
23 150 -22
24 25 -32
24 93 -95
24 103 -82
25 126 48
26 83 -60
26 94 14
28 7 28
28 11 -71
28 114 66
28 152 -51
29 15 -28
29 93 -96
29 164 -97
29 168 42
29 172 -54
30 93 -16
30 134 -20
30 143 65
31 36 79
31 55 24
32 126 -66
32 183 17
32 185 -5
33 25 -27
34 31 -10
34 178 -90
35 49 -54
35 81 69
35 116 -98
37 59 46
38 8 52
38 119 -25
38 196 -72
39 109 12
39 188 -36
40 56 78
40 64 57
41 19 72
41 64 -90
41 134 41
41 164 -54
42 29 60
43 135 76
43 158 80
43 179 28
44 17 -60
44 186 55
45 9 66
45 44 -56
46 27 11
46 28 -17
46 85 56
46 163 -55
47 143 -7
48 118 14
48 145 -72
48 169 90
49 1 -66
49 40 -90
49 182 32
50 3 -43
50 71 -58
51 14 44
51 44 -42
51 50 20
52 2 -19
52 61 -44
53 24 31
54 16 69
54 61 72
54 155 39
54 186 39
55 75 73
55 108 77
56 127 -61
56 136 1
56 164 29
57 7 78
57 163 -95
57 197 -14
58 8 13
58 97 -18
58 116 33
59 61 -4
59 192 -49
61 195 38
64 17 -26
65 1 85
65 181 36
66 72 66
66 77 -95
66 128 76
66 153 80
66 175 65
66 197 58
67 32 -48
67 37 35
67 82 -84
68 32 82
68 98 -58
68 128 -89
68 182 45
69 165 -92
70 40 -24
70 67 3
70 70 -24
70 102 32
71 89 -6
71 127 84
72 15 -15
72 33 6
72 62 64
72 107 -36
72 132 8
73 142 -54
74 31 -88
74 65 71
74 69 -76
74 77 -29
74 160 8
74 181 24
76 50 26
76 70 -30
77 59 -72
77 70 -84
77 89 -95
77 105 44
78 31 81
78 38 24
78 55 -82
78 83 78
78 86 97
79 30 -49
79 76 49
79 127 59
80 45 -81
80 72 -38
80 89 3
80 97 -32
80 146 -74
82 2 -91
83 45 58
83 179 96
84 161 -94
84 187 -11
85 114 -84
86 74 36
86 138 -30
87 30 86
87 59 55
87 72 42
87 83 -38
87 105 -58
88 104 81
88 191 52
89 41 95
89 43 96
89 86 -22
89 87 91
90 82 1
90 129 46
90 136 -19
90 153 -75
91 55 -68
92 25 -2
92 32 -2
92 115 -64
92 179 31
93 30 -81
93 125 74
93 177 77
94 28 -3
94 74 -76
95 55 46
95 150 -91
95 182 24
96 144 20
97 106 -53
98 144 -41
99 95 -47
99 100 -96
100 10 94
100 22 38
100 83 -30
100 129 -65
100 135 29
101 43 -33
101 48 -84
102 54 15
102 80 -97
103 6 51
103 198 -46
104 35 -43
105 36 32
105 92 49
105 127 43
105 168 21
106 4 34
106 7 -24
106 20 -45
106 167 -97
109 18 20
110 51 61
110 143 -20
110 153 95
111 32 -43
111 80 57
