200 200
1 4 25
1 16 -64
1 48 18
2 101 -53
2 156 57
3 192 -46
4 37 3
4 140 63
5 66 -48
5 81 -56
5 176 -53
7 15 -4
7 22 51
7 156 78
7 160 14
7 161 -8
7 178 67
7 183 75
8 99 -70
8 114 -11
9 93 -81
10 39 73
10 98 -68
10 129 17
11 159 -46
12 1 -94
12 7 -100
12 97 99
13 17 66
13 86 77
13 154 87
13 155 15
14 163 -47
14 164 -39
15 96 -52
15 196 -12
16 83 4
16 84 -22
16 139 78
17 156 -13
18 87 1
18 94 -23
18 156 -90
20 178 37
21 10 -18
21 84 45
21 163 -55
21 164 -94
21 175 -93
22 40 81
22 180 35
23 62 10
24 19 93
24 69 -1
24 185 -78
24 198 -2
25 128 -9
25 137 -91
26 72 -77
26 131 -41
27 56 31
27 60 69
27 126 90
27 166 97
28 29 94
28 163 -89
28 170 -32
29 104 40
29 166 -11
30 3 -44
30 74 -42
30 150 62
32 167 -93
32 175 -65
33 56 -89
33 135 63
33 136 -63
33 176 -82
34 132 23
34 139 -100
34 168 -20
34 196 1
35 56 36
35 76 98
35 157 -97
36 54 5
36 88 -36
37 105 14
37 109 20
37 144 81
38 183 -6
39 5 26
39 20 10
39 44 -85
39 159 25
40 11 -90
40 42 30
40 136 -41
40 186 35
41 80 91
42 18 -41
42 29 -76
43 33 -81
43 173 86
44 17 -79
44 67 -18
45 79 51
45 89 16
45 116 -48
46 21 -37
46 91 -46
46 135 -2
47 30 -21
47 65 83
47 74 -3
47 84 59
47 116 -16
48 131 39
49 109 50
49 127 90
50 64 83
51 64 -10
51 112 43
51 158 -86
51 167 -20
53 116 -54
54 88 46
54 97 93
55 7 -90
56 76 9
56 110 -64
57 44 2
57 62 -82
57 142 32
57 182 -88
58 184 71
58 192 75
59 118 51
59 152 28
60 131 -14
60 164 82
61 37 -50
61 87 61
62 34 -70
62 38 -14
62 145 81
63 105 -93
63 148 -88
63 167 42
65 117 16
65 179 67
66 16 -91
66 96 -43
66 119 39
66 140 9
66 164 81
67 114 -70
67 154 -82
67 166 -46
68 91 77
68 197 80
69 65 -26
70 31 75
70 147 2
70 169 -48
71 14 -57
72 66 -47
72 93 -34
72 173 -29
72 191 -26
73 47 89
73 139 -73
73 169 -5
74 59 79
74 69 58
74 79 -66
75 124 -86
75 199 13
76 2 -1
76 9 26
76 48 91
78 32 13
78 187 52
79 10 -33
80 11 1
80 12 -55
80 64 -96
81 22 81
81 24 88
81 62 -92
81 63 -33
81 79 -39
81 111 -80
82 26 37
82 62 81
82 199 23
83 73 -40
83 91 93
83 135 33
83 164 51
83 192 -66
84 62 -63
84 81 -71
84 92 -32
84 170 -100
85 42 54
85 76 78
85 170 61
86 70 -83
86 108 -58
86 140 94
87 3 -20
87 23 7
87 94 21
88 61 -55
88 64 -100
89 5 -71
90 63 -66
90 127 -45
91 46 -6
91 61 55
92 18 14
92 75 98
94 4 82
95 111 -36
95 116 -14
95 119 -54
96 68 3
96 79 12
96 89 26
96 101 67
96 106 -88
96 116 -43
96 144 -69
97 10 -99
97 27 -68
97 64 -65
98 76 87
98 112 33
98 154 -48
99 114 61
101 13 -59
102 49 -91
102 199 -19
104 28 72
104 65 -65
104 88 -72
104 112 -50
104 165 -76
104 173 8
105 85 -93
105 96 -27
105 136 -89
106 169 13
107 145 -49
108 72 -22
108 89 5
108 119 -58
109 2 90
109 24 86
109 26 -10
109 109 76
109 118 -49
109 138 -35
110 64 14
110 89 90
110 133 -32
110 155 41
111 39 -50
111 46 7
111 191 88
112 128 -16
112 148 18
116 146 -35
117 6 -49
117 70 -77
117 86 68
117 128 -26
117 197 -76
118 102 67
118 153 -60
119 75 -84
