200 200
1 22 -93
1 24 -31
1 27 -90
1 37 40
2 24 -55
3 4 -78
4 144 7
4 162 -92
4 187 23
5 11 -41
5 110 -13
5 186 -61
7 68 -16
7 176 -20
8 7 -41
8 14 -29
8 60 97
8 79 -98
8 129 67
9 40 75
9 49 -94
10 10 -43
10 119 66
10 120 -84
10 129 -18
10 133 27
11 29 -49
11 67 -24
11 130 15
11 135 -37
12 14 -75
12 37 67
12 41 -26
12 106 61
12 136 93
13 142 43
13 180 -92
14 9 -82
14 49 14
14 178 -66
15 5 50
15 80 2
15 135 -80
15 173 -28
16 5 -72
16 113 -38
17 33 2
18 7 41
18 15 -23
18 147 -44
19 22 -67
19 94 -80
20 36 -38
20 130 56
21 67 88
21 199 6
22 33 -26
22 120 61
23 104 94
23 178 -42
24 96 -80
24 168 10
24 192 55
25 12 58
25 19 100
25 112 19
25 184 -19
26 11 -73
26 141 -10
26 155 -44
26 190 -7
26 198 -45
27 31 -75
27 50 -70
27 123 31
27 128 -33
27 128 90
28 117 -56
29 1 41
29 75 67
29 122 89
30 15 39
30 64 47
30 80 70
30 89 71
31 49 -35
31 169 11
32 140 -41
32 153 16
33 43 75
33 135 -32
34 31 35
34 110 16
35 134 29
36 131 -49
36 142 -10
37 41 -30
37 91 2
38 28 97
38 149 -20
39 18 6
39 127 -83
39 158 -72
40 143 45
40 195 84
41 34 -38
41 67 -32
41 196 45
42 122 -87
43 34 -16
43 69 59
43 97 73
43 193 73
44 5 63
44 7 -82
44 75 -32
44 127 75
45 42 -60
45 82 4
45 90 67
46 69 57
46 69 93
46 70 98
46 101 -58
46 101 -45
46 127 -91
46 194 -19
47 139 56
48 1 -46
48 34 67
48 160 64
49 44 -37
49 129 43
49 131 -36
49 144 27
49 146 5
49 152 -75
49 166 -23
50 11 92
50 19 9
50 50 -14
50 77 -47
51 128 23
52 118 -86
52 146 14
53 189 21
53 198 -71
54 83 -54
54 89 -69
55 99 79
56 71 -50
56 91 7
56 171 -95
57 71 -16
57 189 -99
58 47 16
58 65 -28
58 190 36
59 143 -21
61 46 93
61 76 -12
62 4 8
62 30 40
62 70 50
62 87 30
62 145 -34
63 79 -59
63 99 -13
63 130 72
64 167 -74
65 77 47
66 33 -8
67 47 62
68 88 45
70 125 46
70 135 -10
71 111 34
72 67 -90
73 15 68
73 83 -12
74 20 -79
74 50 92
74 146 -54
