200 200
1 7 -57
2 31 -72
2 65 -52
2 122 -54
2 173 14
3 21 -55
4 121 91
5 119 -91
5 180 78
7 14 -36
7 48 72
7 49 59
7 124 -46
7 172 -64
8 51 79
8 92 -50
8 198 93
9 2 88
9 40 -86
9 77 -20
10 165 12
11 122 -67
11 179 -92
12 82 20
12 192 70
12 195 6
14 32 -65
14 90 80
14 133 -85
15 13 -40
15 35 -90
15 74 -72
15 91 -87
15 146 16
16 79 -50
16 108 88
17 70 46
18 165 -36
19 108 80
19 116 30
19 155 76
19 155 81
20 16 30
21 76 -64
21 107 41
21 182 -57
22 72 -45
22 80 -96
22 136 -65
23 137 -68
23 182 70
24 11 88
24 85 59
24 96 71
25 136 -58
26 30 12
26 68 -86
26 93 5
26 105 70
26 119 -4
26 188 36
26 195 -36
27 11 -13
27 84 -84
28 3 -89
28 147 92
29 25 19
29 29 -77
29 137 -5
29 197 -58
31 87 94
31 132 80
31 188 23
32 3 -48
32 63 -4
32 146 81
33 33 87
37 2 -48
37 127 -60
38 58 -25
39 19 -85
39 123 70
40 5 -51
40 145 -23
41 12 96
41 48 16
42 102 -2
42 108 -72
43 9 -8
43 138 45
43 155 -41
44 21 95
44 48 80
44 112 -30
44 190 -70
45 13 96
46 10 -26
46 16 16
46 63 5
47 37 -23
47 75 -13
47 77 94
47 97 75
47 139 78
48 3 -67
48 55 -98
48 70 -86
48 142 24
49 23 100
49 116 -29
50 28 30
50 117 63
50 177 -51
50 189 20
51 21 -61
51 22 -51
53 41 -36
53 120 -96
53 166 -65
54 97 40
54 165 16
55 84 -30
55 140 75
56 16 86
56 23 30
56 88 23
56 125 -10
56 138 -23
57 40 11
57 65 52
57 143 -95
57 171 -23
57 194 -96
57 196 -6
58 40 23
58 57 -91
59 29 84
59 95 -83
59 137 -88
60 8 47
61 38 -54
61 140 19
62 9 -47
62 143 -99
63 34 55
64 56 55
64 111 67
64 121 27
65 6 -9
65 92 -16
66 178 -17
66 191 -12
67 6 -98
67 45 46
67 91 41
67 193 -35
68 38 19
68 48 -43
68 54 21
69 23 -74
69 179 -62
70 17 -32
70 113 75
70 136 -35
71 15 -46
71 31 84
71 82 -59
